,credit_score,gender,age,tenure,balance,num_products,credit_card,active,salary,churn,complain,satisfaction,points,country_F,country_G,country_S,card_D,card_G,card_P,card_S,umap_1,umap_2
0,1,0,2,2,0,1,1,1,2,1,1,2,2,1,0,0,1,0,0,0,-3.1435826,0.7860928
1,1,0,2,1,1,1,0,1,2,0,1,3,2,0,0,1,1,0,0,0,10.020865,-11.832602
2,0,0,2,8,3,3,1,0,2,1,1,3,1,1,0,0,1,0,0,0,-3.809586,-0.26865658
3,2,0,2,1,0,2,0,0,1,0,0,5,1,1,0,0,0,1,0,0,-8.133482,3.5411346
4,3,0,2,2,2,1,1,1,1,0,0,5,2,0,0,1,0,1,0,0,1.44462,-6.6392508
5,1,1,2,8,2,2,1,0,2,1,1,5,2,0,0,1,1,0,0,0,10.884056,-12.559824
6,3,1,3,7,0,2,1,1,0,0,0,2,0,1,0,0,0,0,0,1,7.6917157,12.192723
7,0,0,1,4,2,3,1,0,2,1,1,2,0,0,1,0,1,0,0,0,1.6660064,-13.050215
8,0,1,2,4,2,2,0,1,1,0,0,3,0,1,0,0,0,1,0,0,-5.7810297,6.902901
9,2,1,1,2,2,1,1,1,1,0,0,3,1,1,0,0,0,1,0,0,-11.450818,9.34373
10,0,1,1,6,2,2,0,0,1,0,0,3,0,1,0,0,0,1,0,0,-11.522883,5.2974396
11,0,1,0,3,0,2,1,0,1,0,0,3,0,0,0,1,0,1,0,0,1.1620684,-3.8591452
12,0,0,1,10,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0,1,6.1974683,19.175638
13,0,0,1,5,0,2,0,0,3,0,0,3,3,1,0,0,0,0,1,0,-4.446342,12.917264
14,1,0,2,7,0,2,1,1,1,0,0,2,1,0,0,1,0,1,0,0,1.3451035,-6.6077595
15,1,1,3,3,2,2,0,1,1,0,0,5,1,0,1,0,0,1,0,0,11.467523,-5.6368937
16,1,1,4,1,2,1,1,0,0,1,0,2,0,0,1,0,0,0,0,1,20.74856,3.4890704
17,0,0,0,9,0,2,1,1,0,0,0,3,3,0,0,1,0,0,0,1,15.502241,13.45683
18,1,1,3,6,0,1,0,0,3,0,0,3,5,0,0,1,0,0,1,0,13.161639,3.1207678
19,2,0,0,6,0,2,1,1,1,0,0,4,2,1,0,0,0,1,0,0,-8.882311,6.172184
20,2,1,2,8,0,2,1,1,3,0,0,3,3,1,0,0,0,0,1,0,0.15629306,8.213771
21,1,0,1,8,0,2,1,0,2,0,0,2,1,0,0,1,1,0,0,0,11.698337,-11.975671
22,0,0,2,4,0,1,1,0,2,1,1,2,6,0,0,1,1,0,0,0,10.811007,-12.107721
23,1,1,3,3,0,2,0,1,0,0,0,2,4,1,0,0,0,0,0,1,6.497946,14.854282
24,3,0,2,5,0,1,1,1,3,0,0,3,0,1,0,0,0,0,1,0,-5.993219,16.0055
25,0,1,1,3,0,2,0,1,2,0,0,3,4,1,0,0,0,0,1,0,-2.2030628,10.84189
26,2,1,2,2,2,1,1,1,3,0,0,5,0,0,1,0,1,0,0,0,-1.0944731,-12.572127
27,0,1,2,9,0,2,0,0,0,0,0,4,2,1,0,0,0,0,1,0,-1.9797914,12.383383
28,0,0,2,3,2,1,1,1,2,0,0,5,2,0,1,0,1,0,0,0,-0.44705132,-14.650535
29,0,1,1,0,1,2,1,1,1,0,0,2,1,1,0,0,0,1,0,0,-11.13611,9.136815
30,1,0,2,3,0,3,1,0,2,1,1,3,0,0,0,1,1,0,0,0,11.085627,-12.139407
31,0,1,2,7,1,1,0,1,3,0,0,5,4,1,0,0,0,0,0,1,6.6274333,14.995767
32,0,1,2,9,2,2,0,0,1,0,0,3,4,0,1,0,0,1,0,0,10.772285,-4.8718057
33,0,0,2,6,0,2,1,1,0,0,0,2,7,0,0,1,0,0,0,1,15.451464,13.450068
34,2,0,1,9,0,2,1,1,2,0,0,5,0,0,0,1,0,0,1,0,14.030575,4.7993703
35,0,0,3,0,2,1,1,0,0,1,1,1,6,1,0,0,1,0,0,0,-3.7926087,-0.30972853
36,0,1,1,3,2,1,0,1,2,0,0,4,2,0,0,1,0,0,0,1,16.653395,12.262041
37,3,1,1,7,1,1,0,1,1,0,0,2,7,0,0,1,0,1,0,0,2.9979799,-6.6060038
38,3,1,2,7,0,1,1,1,0,0,0,3,7,1,0,0,0,1,0,0,-10.991068,9.272324
39,1,1,2,6,1,2,0,1,3,0,0,5,2,0,1,0,0,1,0,0,11.465128,-5.5993776
40,0,1,2,4,0,1,1,0,1,0,0,4,3,0,0,1,1,0,0,0,11.188113,-13.288099
41,0,0,3,8,2,1,0,0,3,1,1,5,6,1,0,0,0,0,0,1,5.1559305,17.807133
42,0,0,4,2,2,1,1,1,1,0,0,3,5,1,0,0,0,0,1,0,-6.080688,15.634329
43,3,0,3,2,2,1,0,0,3,1,1,2,3,1,0,0,0,1,0,0,-8.752927,4.444944
44,1,0,4,5,3,1,1,1,3,0,0,1,6,0,0,1,0,0,1,0,14.146861,4.9039745
45,2,0,1,4,2,2,1,1,2,0,0,1,0,0,1,0,0,0,0,1,18.71225,1.4042856
46,3,0,1,9,2,1,1,1,2,1,1,3,5,0,1,0,1,0,0,0,0.50297743,-13.396302
47,1,0,2,9,2,1,1,1,2,1,1,1,5,0,1,0,0,0,0,1,19.298801,1.115851
48,0,1,2,2,2,1,0,1,1,0,0,3,7,0,1,0,1,0,0,0,0.177407,-12.138821
49,2,0,2,2,2,2,1,0,3,0,0,1,0,0,1,0,0,0,0,1,21.449093,1.9835893
50,2,1,2,10,2,2,1,0,3,0,0,4,6,0,1,0,0,0,0,1,20.692715,3.4173143
51,1,1,2,5,2,2,0,0,1,0,0,3,4,0,1,0,0,0,0,1,20.498167,2.1288366
52,2,0,1,5,0,2,0,0,2,0,0,3,7,1,0,0,0,1,0,0,-8.163851,3.5214
53,1,1,2,8,2,1,0,0,3,1,1,3,1,0,1,0,0,0,0,1,20.277971,2.20064
54,1,1,2,1,1,1,1,0,0,1,1,2,0,0,1,0,1,0,0,0,1.2593358,-12.237769
55,1,1,2,1,2,1,1,1,2,0,0,5,4,1,0,0,0,0,0,1,7.2888856,12.270579
56,1,1,3,5,2,1,1,0,1,0,0,2,0,1,0,0,0,0,1,0,0.6249766,11.997291
57,2,1,0,0,1,1,0,0,0,0,0,2,2,0,1,0,0,0,1,0,6.1086135,2.5684364
58,0,0,5,4,0,1,1,0,0,1,1,5,3,0,0,1,0,0,0,1,14.985224,11.69075
59,1,1,3,4,1,1,1,1,0,0,0,4,7,1,0,0,0,0,1,0,0.30233976,8.939567
60,2,1,2,5,2,1,0,0,1,0,0,4,6,0,1,0,0,1,0,0,10.769297,-4.8792744
61,2,0,1,9,3,2,0,0,2,0,0,5,5,0,1,0,1,0,0,0,1.7040296,-14.185153
62,0,1,1,1,1,2,0,0,3,0,0,5,2,0,0,1,0,0,1,0,13.206835,3.1210778
63,2,1,4,8,1,1,1,1,1,0,0,4,7,0,0,1,0,0,0,1,18.093615,10.586682
64,1,1,1,4,2,1,1,1,1,0,0,3,6,0,1,0,0,0,1,0,6.7916646,5.008595
65,2,0,2,6,3,2,1,1,0,0,1,5,1,0,1,0,0,1,0,0,12.478645,-4.4767036
66,1,0,1,1,2,1,1,0,2,0,1,3,2,0,1,0,0,0,1,0,4.357267,3.038611
67,2,1,2,10,2,2,1,1,3,0,1,3,4,0,1,0,0,0,1,0,5.4430337,3.5973105
68,1,0,2,5,3,2,0,1,2,0,1,1,5,0,1,0,0,1,0,0,12.085444,-4.587225
69,2,0,0,8,1,1,1,0,0,0,0,5,7,1,0,0,0,0,0,1,5.927032,19.332045
70,2,1,4,2,2,3,1,0,0,1,1,4,5,0,1,0,0,1,0,0,10.863975,-4.043552
71,3,1,1,6,0,1,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0.5404104,12.348587
72,1,0,2,0,3,1,0,1,0,0,0,2,7,0,0,1,0,1,0,0,2.133017,-6.3478117
73,1,0,1,5,3,2,1,1,1,0,0,2,7,0,1,0,0,0,0,1,18.68148,1.4251341
74,0,1,2,9,0,2,0,1,2,0,0,2,6,1,0,0,0,0,1,0,-2.2403781,10.807511
75,2,0,0,1,3,2,1,0,0,0,0,1,3,1,0,0,0,0,1,0,-7.333523,13.318672
76,1,1,4,8,0,2,1,1,2,0,0,5,0,1,0,0,0,0,0,1,7.7969046,12.448367
77,2,0,1,9,0,1,1,1,2,0,0,4,7,1,0,0,0,1,0,0,-8.884024,6.1790133
78,2,1,1,5,1,1,0,1,3,0,0,3,3,0,0,1,0,0,0,1,16.692074,12.2907715
79,0,0,2,10,2,2,1,0,1,0,0,3,0,0,1,0,0,0,0,1,21.498913,1.9578207
80,1,0,1,1,1,2,0,0,3,0,0,3,5,1,0,0,1,0,0,0,-3.0820956,-0.8962424
81,2,0,1,2,0,1,1,0,2,1,1,5,7,1,0,0,0,0,0,1,5.1882963,18.26193
82,0,0,2,3,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,-3.0424652,-0.94563526
83,0,0,1,4,1,1,1,1,3,0,0,4,3,1,0,0,0,0,0,1,9.750228,17.6082
84,0,0,3,4,0,2,1,0,0,0,0,1,2,1,0,0,0,0,0,1,6.2133327,19.217712
85,1,0,5,10,0,2,1,1,2,0,0,5,4,0,0,1,1,0,0,0,9.327397,-12.344683
86,2,1,0,3,2,1,1,0,2,1,1,2,6,0,0,1,0,0,0,1,15.408953,10.9888735
87,2,1,1,9,0,2,1,0,3,0,0,1,6,1,0,0,1,0,0,0,-8.776365,-6.3171935
88,1,0,3,4,0,3,1,0,1,1,1,3,2,1,0,0,0,0,1,0,-4.9275007,13.650341
89,1,0,1,3,1,2,1,1,3,0,0,1,4,0,1,0,1,0,0,0,-0.43474436,-14.655698
90,1,0,2,5,0,3,1,1,3,1,1,3,5,0,0,1,1,0,0,0,9.477062,-12.171305
91,3,1,3,7,2,2,1,0,2,0,0,1,3,1,0,0,0,0,0,1,1.8566388,19.503351
92,0,0,2,10,0,2,1,0,2,0,0,2,1,1,0,0,0,1,0,0,-10.319818,2.9536948
93,2,1,1,8,0,2,1,1,3,0,0,2,2,1,0,0,1,0,0,0,-11.887178,-3.562451
94,2,1,2,4,0,2,0,1,1,0,0,4,5,0,0,1,1,0,0,0,10.124067,-10.831266
95,0,1,2,10,3,1,0,1,2,0,0,1,0,0,0,1,0,1,0,0,3.0502489,-6.6360536
96,2,1,2,9,2,1,0,1,1,0,0,5,2,0,0,1,1,0,0,0,10.105864,-10.808876
97,3,1,1,8,1,2,1,1,3,0,0,2,7,0,1,0,0,1,0,0,13.979218,-4.944139
98,2,1,0,8,0,2,0,0,1,0,0,4,0,0,0,1,0,0,0,1,16.00356,11.405809
99,0,1,1,9,0,2,0,0,0,0,0,1,2,1,0,0,0,0,1,0,-1.9595072,12.367679
100,1,0,2,6,0,1,1,1,3,0,0,2,4,1,0,0,0,0,0,1,9.828263,17.491577
101,1,0,2,6,0,2,0,0,3,0,0,2,3,1,0,0,1,0,0,0,-3.1099753,-0.84379673
102,2,1,1,9,1,1,1,0,0,0,0,4,0,1,0,0,1,0,0,0,-8.390046,-6.898182
103,0,1,2,7,0,2,1,0,1,0,0,5,2,0,0,1,0,0,0,1,15.43147,10.460537
104,2,0,5,1,0,1,1,1,3,1,1,2,7,0,0,1,0,1,0,0,1.29652,-6.458426
105,1,0,3,4,2,2,1,1,0,1,1,3,0,0,0,1,0,1,0,0,1.490625,-6.329868
106,1,1,1,1,1,1,1,1,0,0,0,4,6,0,1,0,0,1,0,0,13.831928,-4.8224506
107,2,0,2,2,1,1,0,1,0,0,0,5,5,0,1,0,0,0,1,0,5.2504287,2.389065
108,1,1,1,5,3,1,0,0,1,0,0,3,3,0,0,1,1,0,0,0,10.999357,-11.181807
109,0,1,2,9,1,1,1,0,1,1,1,3,1,0,1,0,1,0,0,0,1.2645544,-12.261907
110,2,1,1,3,1,1,0,1,1,0,0,4,1,0,1,0,0,0,0,1,20.207922,0.80182666
111,0,1,2,7,2,2,1,0,0,0,0,5,3,0,1,0,0,0,0,1,20.739384,3.483002
112,0,1,2,2,2,1,0,0,1,0,0,5,5,1,0,0,0,0,1,0,-2.054953,12.371517
113,2,1,2,9,2,1,0,1,0,0,0,4,5,0,0,1,0,0,0,1,16.614994,12.2485485
114,2,1,1,9,3,2,0,1,2,1,1,5,3,0,1,0,0,0,1,0,5.6244783,3.2226105
115,1,0,1,9,2,2,1,1,1,0,0,2,5,0,1,0,0,1,0,0,12.984417,-6.9177322
116,1,0,2,6,3,1,1,0,2,0,0,4,3,0,1,0,0,0,0,1,21.470388,2.0029588
117,0,0,2,1,0,2,1,0,0,0,0,4,3,1,0,0,0,1,0,0,-10.406633,2.8594677
